RAW Data export file (tab separated)


Client:	,kozawa
Session:	kozawa6
Date:	06-07-2020
Time:	10:42:13
Duration:	120	Seconds.
Output rate:	128	Samples/sec.

hh:mm:ss	128 SPS	32 SPS	
TIME	Sensor-G:BVP	HR (BVP)	Events	Segments	


00:00:00	14.648	70.000			
00:00:00	14.234	70.000			
00:00:00	14.056	70.000			
00:00:00	13.533	70.000			
00:00:00	12.949	70.000			
00:00:00	12.465	70.000			
00:00:00	11.450	70.000			
00:00:00	10.747	70.000			
00:00:00	9.965	70.000			
00:00:00	9.127	70.000			
00:00:00	8.537	70.000			
00:00:00	7.594	70.000			
00:00:00	6.883	70.000			
00:00:00	6.067	70.000			
00:00:00	5.144	70.000			
00:00:00	4.360	70.000			
00:00:00	3.263	70.000			
00:00:00	2.552	70.000			
00:00:00	1.955	70.000			
00:00:00	1.147	70.000			
00:00:00	0.709	70.000			
00:00:00	0.091	70.000			
00:00:00	-0.459	70.000			
00:00:00	-0.759	70.000			
00:00:00	-1.055	70.000			
00:00:00	-1.062	70.000			
00:00:00	-0.908	70.000			
00:00:00	-0.873	70.000			
00:00:00	-0.778	70.000			
00:00:00	-0.725	70.000			
00:00:00	-0.245	70.000			
00:00:00	0.026	70.000			
00:00:00	0.141	70.000			
00:00:00	0.518	70.000			
00:00:00	0.498	70.000			
00:00:00	0.406	70.000			
00:00:00	0.372	70.000			
00:00:00	0.123	70.000			
00:00:00	0.172	70.000			
00:00:00	0.171	70.000			
00:00:00	0.162	70.000			
00:00:00	0.171	70.000			
00:00:00	-0.080	70.000			
00:00:00	-0.171	70.000			
00:00:00	-0.426	70.000			
00:00:00	-0.671	70.000			
00:00:00	-0.785	70.000			
00:00:00	-1.031	70.000			
00:00:00	-1.121	70.000			
00:00:00	-1.265	70.000			
00:00:00	-1.426	70.000			
00:00:00	-1.383	70.000			
00:00:00	-1.539	70.000			
00:00:00	-1.693	70.000			
00:00:00	-1.505	70.000			
00:00:00	-1.522	70.000			
00:00:00	-1.457	70.000			
00:00:00	-1.446	70.000			
00:00:00	-1.380	70.000			
00:00:00	-1.413	70.000			
00:00:00	-1.701	70.000			
00:00:00	-1.738	70.000			
00:00:00	-1.905	70.000			
00:00:00	-2.044	70.000			
00:00:00	-1.852	70.000			
00:00:00	-1.868	70.000			
00:00:00	-1.730	70.000			
00:00:00	-1.606	70.000			
00:00:00	-1.575	70.000			
00:00:00	-1.215	70.000			
00:00:00	-1.155	70.000			
00:00:00	-1.017	70.000			
00:00:00	-0.995	70.000			
00:00:00	-1.067	70.000			
00:00:00	-1.026	70.000			
00:00:00	-1.305	70.000			
00:00:00	-1.398	70.000			
00:00:00	-1.401	70.000			
00:00:00	-1.634	70.000			
00:00:00	-1.384	70.000			
00:00:00	-1.390	70.000			
00:00:00	-1.567	70.000			
00:00:00	-1.505	70.000			
00:00:00	-1.725	70.000			
00:00:00	-1.642	70.000			
00:00:00	-1.606	70.000			
00:00:00	-1.689	70.000			
00:00:00	-1.554	70.000			
00:00:00	-1.393	70.000			
00:00:00	-0.848	70.000			
00:00:00	-0.136	70.000			
00:00:00	0.654	70.000			
00:00:00	1.826	70.000			
00:00:00	3.072	70.000			
